10000, 1
Picasso, Femme nue assise (1910).jpeg
0, 2288547.5, 718024.4375
1, 2132432.5, 821653.0
2, 2020522.75, 648396.6875
3, 1894996.625, 739762.375
4, 1819297.0, 650477.5
5, 1747971.875, 697729.75
6, 1669502.125, 641948.6875
7, 1601205.0, 604058.1875
8, 1530809.25, 428090.75
9, 1480986.125, 577549.0
10, 1428110.875, 539803.0
11, 1370410.125, 715376.9375
12, 1315812.875, 824482.75
13, 1258256.0, 585261.4375
14, 1212218.25, 588556.9375
15, 1165839.875, 605552.3125
16, 1119044.125, 601740.75
17, 1077311.875, 471129.84375
18, 1035944.6875, 675244.0625
19, 999842.5, 520760.34375
20, 973669.0, 406702.75
21, 936154.8125, 567453.5625
22, 915071.5, 436913.875
23, 875462.875, 660869.0
24, 851613.0, 626713.5625
25, 825160.75, 525331.875
26, 798955.8125, 745365.625
27, 771713.125, 677701.9375
28, 752907.5, 443327.25
29, 722661.8125, 739952.0
30, 705642.4375, 499149.65625
31, 689766.5, 489805.78125
32, 669096.3125, 532442.6875
33, 646393.875, 563997.375
34, 633398.9375, 543944.625
35, 623097.75, 524414.8125
36, 600100.9375, 495891.46875
37, 582436.75, 617510.25
38, 568440.5625, 384532.65625
39, 548721.0625, 594876.125
40, 534847.875, 406537.34375
41, 526453.6875, 445697.34375
42, 533121.6875, 322284.78125
43, 510095.40625, 497301.78125
44, 494910.1875, 562882.375
45, 480014.8125, 414299.5
46, 469588.625, 590925.5
47, 455016.125, 469397.53125
48, 444400.34375, 489792.25
49, 437372.28125, 407681.65625
50, 432809.84375, 588533.5
51, 425093.09375, 377686.875
52, 420031.65625, 477828.5625
53, 404566.96875, 560889.4375
54, 403878.1875, 509324.6875
55, 386792.03125, 478917.875
56, 382862.625, 461191.84375
57, 370643.53125, 521398.125
58, 378255.71875, 597050.5625
59, 359662.6875, 665914.75
60, 353591.3125, 476550.6875
61, 352327.90625, 608028.25
62, 348151.625, 552994.5625
63, 349084.90625, 502083.6875
64, 363021.90625, 575713.375
65, 331500.125, 572646.5625
66, 318950.90625, 558080.125
67, 319101.71875, 541703.3125
68, 315964.15625, 379607.40625
69, 303370.8125, 511963.65625
70, 306901.71875, 489401.59375
71, 305816.1875, 657889.1875
72, 301168.59375, 627352.0
73, 291807.65625, 389082.40625
74, 294007.71875, 581758.9375
75, 288070.6875, 573449.4375
76, 278110.96875, 658987.0
77, 280617.4375, 435112.75
78, 283456.75, 598965.4375
79, 296198.78125, 334443.9375
80, 273287.3125, 466564.90625
81, 267748.0625, 604762.1875
82, 276957.1875, 642460.4375
83, 266956.5, 556859.875
84, 269564.40625, 451772.59375
85, 260486.484375, 363418.53125
86, 248503.75, 707860.25
87, 255373.3125, 461130.90625
88, 244738.75, 633762.8125
89, 259293.71875, 464777.28125
90, 245272.375, 507864.90625
91, 239382.625, 664585.75
92, 231077.9375, 476310.4375
93, 224702.984375, 609291.1875
