10000, 1
Roy Lichtenstein, Bicentennial Print (1975).jpg
0, 23852138.0, 529611.8125
1, 23738818.0, 464837.15625
2, 23559224.0, 761459.0
3, 23382044.0, 519263.3125
4, 23145788.0, 478537.5625
5, 22867214.0, 770527.375
6, 22674580.0, 597870.8125
7, 22370928.0, 706802.25
8, 22109438.0, 703195.3125
9, 21863458.0, 731487.5625
10, 21688708.0, 631453.1875
11, 21447790.0, 536077.1875
12, 21184564.0, 658578.9375
13, 20999248.0, 958882.875
14, 20818390.0, 544385.1875
15, 20492714.0, 879355.4375
16, 20355146.0, 844085.875
17, 20136556.0, 898711.9375
18, 19960632.0, 1020580.6875
19, 19771278.0, 777938.8125
20, 19481704.0, 625812.1875
21, 19348646.0, 768735.0625
22, 19203788.0, 636450.0
23, 18943284.0, 785296.4375
24, 18769572.0, 653103.4375
25, 18540570.0, 729244.8125
26, 18382024.0, 821373.375
27, 18166396.0, 793600.8125
28, 17899838.0, 1044836.8125
29, 17748662.0, 789348.625
30, 17563908.0, 952737.25
31, 17415654.0, 827533.125
32, 17307310.0, 1017332.75
33, 17050886.0, 835286.3125
34, 16959168.0, 849706.0
35, 16842272.0, 804049.5
36, 16527581.0, 801336.875
37, 16636429.0, 767134.1875
38, 16165790.0, 1036696.5
39, 16164932.0, 1083027.125
40, 15921103.0, 915103.25
41, 15849546.0, 990426.0625
42, 15689345.0, 838149.75
43, 15509079.0, 888576.5
44, 15485706.0, 900981.5
45, 15323985.0, 990581.3125
46, 15096043.0, 1018221.6875
47, 15047467.0, 1000352.875
48, 14851484.0, 978039.75
49, 14786945.0, 1082087.5
50, 14554774.0, 850999.375
51, 14456052.0, 822047.8125
52, 14464577.0, 807503.6875
53, 14299538.0, 1165317.125
54, 14190098.0, 1059304.375
55, 14164186.0, 1010510.4375
56, 13987906.0, 961370.1875
57, 13761871.0, 1059961.375
58, 13719352.0, 977833.5625
59, 13571701.0, 897237.0
60, 13601742.0, 1026796.5625
61, 13389281.0, 1188919.25
62, 13263116.0, 999504.5
63, 13141929.0, 1126111.0
64, 13266880.0, 966922.5625
65, 12935257.0, 1125270.25
66, 12935625.0, 973787.125
67, 12921129.0, 856492.8125
68, 12703247.0, 1299237.0
69, 12635796.0, 1222573.125
70, 12566525.0, 1116464.75
71, 12500718.0, 1026692.1875
72, 12348841.0, 1132310.375
73, 12349477.0, 1017474.25
74, 12270790.0, 1041024.5625
75, 12087532.0, 1059985.5
76, 12125446.0, 908125.5
